IDREP	NOM 	COGNOM	EDAT	IDOFI	CARREC		DATAINGRES  	IDDIR	QUOTA	VENDES
105	Bill 	Adams	37	13	RepVentas	1988-02-12	104	350000	367911
109	Mary 	Jones	31	11	RepVentas	1989-10-12	106	300000	392725
102	Sue 	Smith	48	21	RepVentas	1986-12-10	108	350000	474050
106	Sam 	Clark	52	11	VPVentas	1988-06-14	\N	275000	299912
104	Bob 	Smith	33	12	DirVentas	1987-05-19	106	200000	142594
101	Dan 	Roberts	45	12	RepVentas	1986-10-20	104	300000	305673
110	Tom 	Snyder	41	\N	RepVentas	1990-01-13	101	\N	75985
108	Larry 	Fitch	62	21	DirVentas	1989-10-12	106	350000	361865
103	Paul 	Cruz	29	12	RepVentas	1987-03-01	104	275000	286775
107	Nancy 	Angelli	49	22	RepVentas	1988-11-14	108	300000	186042
